decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
165,0.44,0.405,0.162,0.1,0.2,1130,1702,1635,0.6772550194785736
37,0.36,0.45,0.18,0.09,0.25,1150,1702,1696,0.6768687463213654
107,0.4,0.405,0.198,0.11,0.3,1118,1702,1602,0.6767554479418886
18,0.36,0.405,0.198,0.09,0.2,1147,1702,1688,0.6766961651917404
43,0.36,0.45,0.18,0.11,0.25,1140,1702,1669,0.676357164046277
168,0.44,0.405,0.162,0.11,0.2,1125,1702,1626,0.6760817307692307
178,0.44,0.405,0.18,0.11,0.25,1113,1702,1592,0.6757741347905282
30,0.36,0.45,0.162,0.1,0.2,1156,1702,1724,0.6748394629305312
162,0.44,0.405,0.162,0.09,0.2,1132,1702,1653,0.6748137108792847
112,0.4,0.45,0.162,0.1,0.25,1138,1702,1672,0.6745702430349734
172,0.44,0.405,0.18,0.09,0.25,1120,1702,1619,0.6744956338452274
109,0.4,0.45,0.162,0.09,0.25,1142,1702,1688,0.6737463126843657
174,0.44,0.405,0.18,0.1,0.2,1117,1702,1614,0.6737032569360675
33,0.36,0.45,0.162,0.11,0.2,1151,1702,1715,0.6736903716710564
27,0.36,0.45,0.162,0.09,0.2,1160,1702,1742,0.6736353077816493
101,0.4,0.405,0.198,0.09,0.3,1123,1702,1633,0.6734632683658172
122,0.4,0.45,0.18,0.1,0.3,1124,1702,1636,0.6734571599760335
103,0.4,0.405,0.198,0.1,0.25,1120,1702,1625,0.6732792305380222
125,0.4,0.45,0.18,0.11,0.3,1118,1702,1621,0.6728859464339452
115,0.4,0.45,0.162,0.11,0.25,1131,1702,1661,0.672613737734166
177,0.44,0.405,0.18,0.11,0.2,1112,1702,1605,0.6725128515270639
39,0.36,0.45,0.18,0.1,0.2,1141,1702,1692,0.6723629935179729
119,0.4,0.45,0.18,0.09,0.3,1127,1702,1653,0.6718330849478391
106,0.4,0.405,0.198,0.11,0.25,1113,1702,1614,0.6712907117008444
42,0.36,0.45,0.18,0.11,0.2,1136,1702,1683,0.6711964549483014
50,0.36,0.45,0.198,0.1,0.3,1125,1702,1651,0.6710408589322995
36,0.36,0.45,0.18,0.09,0.2,1144,1702,1710,0.6705744431418522
53,0.36,0.45,0.198,0.11,0.3,1119,1702,1636,0.6704613541042539
194,0.44,0.45,0.162,0.1,0.3,1112,1702,1616,0.6702833031946954
171,0.44,0.405,0.18,0.09,0.2,1117,1702,1632,0.6700659868026395
191,0.44,0.45,0.162,0.09,0.3,1117,1702,1633,0.6698650674662668
185,0.44,0.405,0.198,0.1,0.3,1098,1702,1577,0.6697163769441903
