decoder_candidate,onset_threshold,offset_threshold,min_onset_separation_seconds,min_note_duration_seconds,crepe_confidence_threshold,matches,ref_notes,est_notes,COnPOff_F_micro
14,0.36,0.405,0.18,0.1,0.3,1163,1748,1690,0.6765561372891217
23,0.36,0.405,0.198,0.1,0.3,1158,1748,1678,0.6760070052539405
17,0.36,0.405,0.18,0.11,0.3,1157,1748,1677,0.6756204379562045
11,0.36,0.405,0.18,0.09,0.3,1165,1748,1703,0.6751666183714866
26,0.36,0.405,0.198,0.11,0.3,1152,1748,1665,0.6750659244066802
5,0.36,0.405,0.162,0.1,0.3,1167,1748,1711,0.6747614917606244
20,0.36,0.405,0.198,0.09,0.3,1159,1748,1691,0.6740331491712707
8,0.36,0.405,0.162,0.11,0.3,1161,1748,1698,0.6738247243180499
2,0.36,0.405,0.162,0.09,0.3,1169,1748,1724,0.6733870967741935
13,0.36,0.405,0.18,0.1,0.25,1157,1748,1695,0.67208829509149
22,0.36,0.405,0.198,0.1,0.25,1152,1748,1683,0.6715243369280093
16,0.36,0.405,0.18,0.11,0.25,1152,1748,1686,0.6709376820034944
25,0.36,0.405,0.198,0.11,0.25,1147,1748,1674,0.6703682057276447
10,0.36,0.405,0.18,0.09,0.25,1158,1748,1707,0.6703328509406657
4,0.36,0.405,0.162,0.1,0.25,1161,1748,1716,0.670323325635104
41,0.36,0.45,0.18,0.1,0.3,1152,1748,1690,0.6701570680628273
50,0.36,0.45,0.198,0.1,0.3,1147,1748,1678,0.6695855224751898
38,0.36,0.45,0.18,0.09,0.3,1155,1748,1703,0.6693711967545639
44,0.36,0.45,0.18,0.11,0.3,1146,1748,1677,0.6691970802919708
19,0.36,0.405,0.198,0.09,0.25,1152,1748,1695,0.6691838512924774
7,0.36,0.405,0.162,0.11,0.25,1156,1748,1707,0.6691751085383503
53,0.36,0.45,0.198,0.11,0.3,1141,1748,1665,0.6686199824201582
12,0.36,0.405,0.18,0.1,0.2,1156,1748,1710,0.6685945633314054
1,0.36,0.405,0.162,0.09,0.25,1162,1748,1728,0.6685845799769851
95,0.4,0.405,0.18,0.1,0.3,1139,1748,1660,0.6684272300469484
47,0.36,0.45,0.198,0.09,0.3,1149,1748,1691,0.6682175050886886
15,0.36,0.405,0.18,0.11,0.2,1152,1748,1700,0.6682134570765661
21,0.36,0.405,0.198,0.1,0.2,1151,1748,1698,0.6680208937899013
32,0.36,0.45,0.162,0.1,0.3,1155,1748,1711,0.6678230702515178
24,0.36,0.405,0.198,0.11,0.2,1147,1748,1688,0.6676367869615832
104,0.4,0.405,0.198,0.1,0.3,1133,1748,1648,0.6672555948174322
92,0.4,0.405,0.18,0.09,0.3,1141,1748,1673,0.6670564162525577
29,0.36,0.45,0.162,0.09,0.3,1158,1748,1724,0.6670506912442397
98,0.4,0.405,0.18,0.11,0.3,1132,1748,1647,0.6668630338733431
35,0.36,0.45,0.162,0.11,0.3,1149,1748,1698,0.6668601276842716
3,0.36,0.405,0.162,0.1,0.2,1160,1748,1731,0.6668582926128197
9,0.36,0.405,0.18,0.09,0.2,1157,1748,1724,0.6664746543778801
6,0.36,0.405,0.162,0.11,0.2,1156,1748,1721,0.6664744883251656
86,0.4,0.405,0.162,0.1,0.3,1141,1748,1679,0.6658885322439453
107,0.4,0.405,0.198,0.11,0.3,1126,1748,1635,0.6656813479160508
18,0.36,0.405,0.198,0.09,0.2,1151,1748,1712,0.6653179190751445
101,0.4,0.405,0.198,0.09,0.3,1134,1748,1661,0.6652977412731006
0,0.36,0.405,0.162,0.09,0.2,1161,1748,1745,0.664758087603779
167,0.44,0.405,0.162,0.1,0.3,1128,1748,1646,0.6647024160282852
40,0.36,0.45,0.18,0.1,0.25,1144,1748,1695,0.6645367412140575
83,0.4,0.405,0.162,0.09,0.3,1143,1748,1692,0.6645348837209303
89,0.4,0.405,0.162,0.11,0.3,1134,1748,1666,0.6643233743409491
49,0.36,0.45,0.198,0.1,0.25,1139,1748,1683,0.6639463713203148
94,0.4,0.405,0.18,0.1,0.25,1133,1748,1665,0.6639320246117786
37,0.36,0.45,0.18,0.09,0.25,1146,1748,1707,0.6633863965267728
43,0.36,0.45,0.18,0.11,0.25,1139,1748,1686,0.6633663366336634
122,0.4,0.45,0.18,0.1,0.3,1130,1748,1660,0.6631455399061033
170,0.44,0.405,0.162,0.11,0.3,1121,1748,1633,0.6631174208813959
176,0.44,0.405,0.18,0.1,0.3,1120,1748,1630,0.6631142687981053
185,0.44,0.405,0.198,0.1,0.3,1116,1748,1618,0.6631016042780749
164,0.44,0.405,0.162,0.09,0.3,1129,1748,1658,0.6629477392836172
52,0.36,0.45,0.198,0.11,0.25,1134,1748,1674,0.662770309760374
103,0.4,0.405,0.198,0.1,0.25,1127,1748,1653,0.662746251102617
119,0.4,0.45,0.18,0.09,0.3,1133,1748,1673,0.662379421221865
31,0.36,0.45,0.162,0.1,0.25,1147,1748,1716,0.6622401847575057
46,0.36,0.45,0.198,0.09,0.25,1140,1748,1695,0.6622131861748476
91,0.4,0.405,0.18,0.09,0.25,1134,1748,1677,0.6621897810218978
97,0.4,0.405,0.18,0.11,0.25,1127,1748,1656,0.6621621621621623
131,0.4,0.45,0.198,0.1,0.3,1124,1748,1648,0.6619552414605419
125,0.4,0.45,0.18,0.11,0.3,1123,1748,1647,0.661561119293078
179,0.44,0.405,0.18,0.11,0.3,1113,1748,1617,0.6615156017830609
188,0.44,0.405,0.198,0.11,0.3,1109,1748,1605,0.6614971667163734
85,0.4,0.405,0.162,0.1,0.25,1135,1748,1684,0.6614219114219113
173,0.44,0.405,0.18,0.09,0.3,1121,1748,1642,0.6613569321533922
28,0.36,0.45,0.162,0.09,0.25,1149,1748,1728,0.6611047180667434
34,0.36,0.45,0.162,0.11,0.25,1142,1748,1707,0.6610709117221417
166,0.44,0.405,0.162,0.1,0.25,1123,1748,1650,0.660977045320777
106,0.4,0.405,0.198,0.11,0.25,1121,1748,1644,0.6609669811320754
182,0.44,0.405,0.198,0.09,0.3,1116,1748,1630,0.6607460035523979
113,0.4,0.45,0.162,0.1,0.3,1132,1748,1679,0.6606361248905748
128,0.4,0.45,0.198,0.09,0.3,1126,1748,1661,0.660604282780874
39,0.36,0.45,0.18,0.1,0.2,1142,1748,1710,0.6604973973395026
100,0.4,0.405,0.198,0.09,0.25,1127,1748,1665,0.6604160562554936
134,0.4,0.45,0.198,0.11,0.3,1117,1748,1635,0.6603606266627253
42,0.36,0.45,0.18,0.11,0.2,1138,1748,1700,0.660092807424594
93,0.4,0.405,0.18,0.1,0.2,1131,1748,1679,0.6600525240735338
194,0.44,0.45,0.162,0.1,0.3,1120,1748,1646,0.6599882144961697
48,0.36,0.45,0.198,0.1,0.2,1137,1748,1698,0.6598955310504934
110,0.4,0.45,0.162,0.09,0.3,1135,1748,1692,0.6598837209302325
82,0.4,0.405,0.162,0.09,0.25,1136,1748,1696,0.6596980255516841
88,0.4,0.405,0.162,0.11,0.25,1129,1748,1675,0.6596552731522055
51,0.36,0.45,0.198,0.11,0.2,1133,1748,1688,0.659487776484284
96,0.4,0.405,0.18,0.11,0.2,1127,1748,1670,0.6594499707431247
175,0.44,0.405,0.18,0.1,0.25,1115,1748,1634,0.6593731519810763
184,0.44,0.405,0.198,0.1,0.25,1111,1748,1622,0.6593471810089021
116,0.4,0.45,0.162,0.11,0.3,1125,1748,1666,0.6590509666080843
169,0.44,0.405,0.162,0.11,0.25,1117,1748,1642,0.6589970501474927
36,0.36,0.45,0.18,0.09,0.2,1144,1748,1724,0.6589861751152074
102,0.4,0.405,0.198,0.1,0.2,1125,1748,1667,0.6588579795021963
191,0.44,0.45,0.162,0.09,0.3,1122,1748,1658,0.6588373458602466
163,0.44,0.405,0.162,0.09,0.25,1123,1748,1662,0.6586510263929619
90,0.4,0.405,0.18,0.09,0.2,1133,1748,1693,0.6585294972391746
197,0.44,0.45,0.162,0.11,0.3,1113,1748,1633,0.6583850931677019
203,0.44,0.45,0.18,0.1,0.3,1112,1748,1630,0.6583777383066902
105,0.4,0.405,0.198,0.11,0.2,1121,1748,1658,0.6582501467997651
30,0.36,0.45,0.162,0.1,0.2,1145,1748,1731,0.65823512503593
33,0.36,0.45,0.162,0.11,0.2,1141,1748,1721,0.6578264629576247
45,0.36,0.45,0.198,0.09,0.2,1138,1748,1712,0.6578034682080924
212,0.44,0.45,0.198,0.1,0.3,1107,1748,1618,0.6577540106951872
84,0.4,0.405,0.162,0.1,0.2,1133,1748,1698,0.6575739988392338
121,0.4,0.45,0.18,0.1,0.25,1122,1748,1665,0.6574860826252563
178,0.44,0.405,0.18,0.11,0.25,1109,1748,1626,0.6573799644339063
187,0.44,0.405,0.198,0.11,0.25,1105,1748,1614,0.6573468173706127
200,0.44,0.45,0.18,0.09,0.3,1114,1748,1642,0.6572271386430678
165,0.44,0.405,0.162,0.1,0.2,1121,1748,1664,0.6570926143024619
172,0.44,0.405,0.18,0.09,0.25,1115,1748,1646,0.6570418385385974
87,0.4,0.405,0.162,0.11,0.2,1129,1748,1689,0.6569682862961885
206,0.44,0.45,0.18,0.11,0.3,1105,1748,1617,0.6567607726597325
99,0.4,0.405,0.198,0.09,0.2,1126,1748,1681,0.6567512394284047
27,0.36,0.45,0.162,0.09,0.2,1147,1748,1745,0.6567420555396507
181,0.44,0.405,0.198,0.09,0.25,1110,1748,1634,0.6564163217031342
118,0.4,0.45,0.18,0.09,0.25,1124,1748,1677,0.6563503649635037
168,0.44,0.405,0.162,0.11,0.2,1117,1748,1656,0.6562867215041128
130,0.4,0.45,0.198,0.1,0.25,1116,1748,1653,0.6562775654219347
215,0.44,0.45,0.198,0.11,0.3,1100,1748,1605,0.656128839844915
81,0.4,0.405,0.162,0.09,0.2,1135,1748,1712,0.6560693641618497
209,0.44,0.45,0.198,0.09,0.3,1108,1748,1630,0.6560094730609828
124,0.4,0.45,0.18,0.11,0.25,1116,1748,1656,0.655699177438308
174,0.44,0.405,0.18,0.1,0.2,1113,1748,1648,0.6554770318021201
183,0.44,0.405,0.198,0.1,0.2,1109,1748,1636,0.655437352245863
193,0.44,0.45,0.162,0.1,0.25,1113,1748,1650,0.6550912301353737
112,0.4,0.45,0.162,0.1,0.25,1124,1748,1684,0.655011655011655
162,0.44,0.405,0.162,0.09,0.2,1122,1748,1678,0.6549912434325744
177,0.44,0.405,0.18,0.11,0.2,1109,1748,1640,0.6546635182998819
186,0.44,0.405,0.198,0.11,0.2,1105,1748,1628,0.6546208530805687
127,0.4,0.45,0.198,0.09,0.25,1117,1748,1665,0.654556108995019
133,0.4,0.45,0.198,0.11,0.25,1110,1748,1644,0.6544811320754716
109,0.4,0.45,0.162,0.09,0.25,1126,1748,1696,0.6538908246225319
202,0.44,0.45,0.18,0.1,0.25,1105,1748,1634,0.6534594914251922
171,0.44,0.405,0.18,0.09,0.2,1114,1748,1662,0.6533724340175954
190,0.44,0.45,0.162,0.09,0.25,1114,1748,1662,0.6533724340175954
115,0.4,0.45,0.162,0.11,0.25,1118,1748,1675,0.6532281624306164
196,0.44,0.45,0.162,0.11,0.25,1107,1748,1642,0.6530973451327434
120,0.4,0.45,0.18,0.1,0.2,1119,1748,1679,0.65304931426904
211,0.44,0.45,0.198,0.1,0.25,1100,1748,1622,0.6528189910979229
180,0.44,0.405,0.198,0.09,0.2,1109,1748,1650,0.6527369040612125
123,0.4,0.45,0.18,0.11,0.2,1115,1748,1670,0.652428320655354
117,0.4,0.45,0.18,0.09,0.2,1122,1748,1693,0.6521360069747167
129,0.4,0.45,0.198,0.1,0.2,1113,1748,1667,0.6518301610541728
199,0.44,0.45,0.18,0.09,0.25,1106,1748,1646,0.6517383618149677
205,0.44,0.45,0.18,0.11,0.25,1099,1748,1626,0.6514522821576763
132,0.4,0.45,0.198,0.11,0.2,1109,1748,1658,0.6512037580739871
214,0.44,0.45,0.198,0.11,0.25,1094,1748,1614,0.6508030933967878
192,0.44,0.45,0.162,0.1,0.2,1110,1748,1664,0.6506447831184056
111,0.4,0.45,0.162,0.1,0.2,1121,1748,1698,0.6506094022054556
208,0.44,0.45,0.198,0.09,0.25,1100,1748,1634,0.6505026611472501
126,0.4,0.45,0.198,0.09,0.2,1115,1748,1681,0.6503353747448236
114,0.4,0.45,0.162,0.11,0.2,1117,1748,1689,0.6499854524294444
195,0.44,0.45,0.162,0.11,0.2,1106,1748,1656,0.6498237367802586
68,0.36,0.495,0.18,0.1,0.3,1117,1748,1690,0.6497963932518906
108,0.4,0.45,0.162,0.09,0.2,1124,1748,1712,0.6497109826589595
65,0.36,0.495,0.18,0.09,0.3,1121,1748,1703,0.649666763257027
71,0.36,0.495,0.18,0.11,0.3,1112,1748,1677,0.6493430656934306
189,0.44,0.45,0.162,0.09,0.2,1112,1748,1678,0.6491535318155284
201,0.44,0.45,0.18,0.1,0.2,1102,1748,1648,0.6489988221436985
59,0.36,0.495,0.162,0.1,0.3,1122,1748,1711,0.6487424111014745
56,0.36,0.495,0.162,0.09,0.3,1126,1748,1724,0.6486175115207373
210,0.44,0.45,0.198,0.1,0.2,1097,1748,1636,0.6483451536643026
62,0.36,0.495,0.162,0.11,0.3,1117,1748,1698,0.6482878699941961
204,0.44,0.45,0.18,0.11,0.2,1098,1748,1640,0.6481700118063756
213,0.44,0.45,0.198,0.11,0.2,1093,1748,1628,0.6475118483412323
198,0.44,0.45,0.18,0.09,0.2,1104,1748,1662,0.6475073313782992
77,0.36,0.495,0.198,0.1,0.3,1109,1748,1678,0.6474022183304144
80,0.36,0.495,0.198,0.11,0.3,1104,1748,1665,0.6469381775564019
74,0.36,0.495,0.198,0.09,0.3,1112,1748,1691,0.6466996219831346
207,0.44,0.45,0.198,0.09,0.2,1098,1748,1650,0.6462625073572689
149,0.4,0.495,0.18,0.1,0.3,1096,1748,1660,0.6431924882629108
146,0.4,0.495,0.18,0.09,0.3,1100,1748,1673,0.6430868167202572
152,0.4,0.495,0.18,0.11,0.3,1090,1748,1647,0.6421207658321061
140,0.4,0.495,0.162,0.1,0.3,1100,1748,1679,0.6419608987452583
67,0.36,0.495,0.18,0.1,0.25,1105,1748,1695,0.6418820795817601
137,0.4,0.495,0.162,0.09,0.3,1104,1748,1692,0.6418604651162791
221,0.44,0.495,0.162,0.1,0.3,1089,1748,1646,0.6417206835592222
64,0.36,0.495,0.18,0.09,0.25,1108,1748,1707,0.6413892908827784
70,0.36,0.495,0.18,0.11,0.25,1101,1748,1686,0.6412347117064647
218,0.44,0.495,0.162,0.09,0.3,1092,1748,1658,0.6412213740458015
143,0.4,0.495,0.162,0.11,0.3,1094,1748,1666,0.6408904510837727
58,0.36,0.495,0.162,0.1,0.25,1110,1748,1716,0.6408775981524248
224,0.44,0.495,0.162,0.11,0.3,1083,1748,1633,0.6406388642413486
55,0.36,0.495,0.162,0.09,0.25,1113,1748,1728,0.640391254315305
61,0.36,0.495,0.162,0.11,0.25,1106,1748,1707,0.6402315484804632
158,0.4,0.495,0.198,0.1,0.3,1087,1748,1648,0.6401648998822144
155,0.4,0.495,0.198,0.09,0.3,1090,1748,1661,0.6394837195658551
76,0.36,0.495,0.198,0.1,0.25,1097,1748,1683,0.6394637132031478
161,0.4,0.495,0.198,0.11,0.3,1081,1748,1635,0.6390777416494235
230,0.44,0.495,0.18,0.1,0.3,1079,1748,1630,0.6388395500296032
79,0.36,0.495,0.198,0.11,0.25,1093,1748,1674,0.6388077147866744
73,0.36,0.495,0.198,0.09,0.25,1099,1748,1695,0.638396747022945
227,0.44,0.495,0.18,0.09,0.3,1082,1748,1642,0.6383480825958702
69,0.36,0.495,0.18,0.11,0.2,1100,1748,1700,0.6380510440835266
66,0.36,0.495,0.18,0.1,0.2,1103,1748,1710,0.6379410063620591
233,0.44,0.495,0.18,0.11,0.3,1073,1748,1617,0.6377414561664191
63,0.36,0.495,0.18,0.09,0.2,1106,1748,1724,0.6370967741935483
60,0.36,0.495,0.162,0.11,0.2,1105,1748,1721,0.637071202075526
57,0.36,0.495,0.162,0.1,0.2,1108,1748,1731,0.6369646450129347
239,0.44,0.495,0.198,0.1,0.3,1072,1748,1618,0.6369578134284017
54,0.36,0.495,0.162,0.09,0.2,1111,1748,1745,0.6361294016604638
236,0.44,0.495,0.198,0.09,0.3,1074,1748,1630,0.6358792184724689
242,0.44,0.495,0.198,0.11,0.3,1066,1748,1605,0.6358484938860721
78,0.36,0.495,0.198,0.11,0.2,1092,1748,1688,0.6356228172293364
75,0.36,0.495,0.198,0.1,0.2,1095,1748,1698,0.6355194428322694
148,0.4,0.495,0.18,0.1,0.25,1083,1748,1665,0.6346322883094053
145,0.4,0.495,0.18,0.09,0.25,1086,1748,1677,0.6341605839416058
72,0.36,0.495,0.198,0.09,0.2,1097,1748,1712,0.6341040462427745
