configuration,stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F0 only,child1,119,139,0.460431654676259,0.5378151260504201,0.496124031007752,0.6187050359712231,0.7226890756302521,0.6666666666666667,0.6474820143884892,0.7563025210084033,0.6976744186046512,0.31092436974789917,0.15966386554621848,0.01680672268907563
F0 only,child10,87,83,0.40963855421686746,0.39080459770114945,0.4,0.5421686746987951,0.5172413793103449,0.5294117647058824,0.5783132530120482,0.5517241379310345,0.5647058823529413,0.3218390804597701,0.3448275862068966,0.011494252873563218
F0 only,child11,72,78,0.41025641025641024,0.4444444444444444,0.42666666666666664,0.5769230769230769,0.625,0.6,0.6410256410256411,0.6944444444444444,0.6666666666666666,0.25,0.25,0.06944444444444445
F0 only,child12,89,89,0.47191011235955055,0.47191011235955055,0.47191011235955055,0.5842696629213483,0.5842696629213483,0.5842696629213483,0.6292134831460674,0.6292134831460674,0.6292134831460674,0.2696629213483146,0.3258426966292135,0.11235955056179775
F0 only,child13,62,73,0.3150684931506849,0.3709677419354839,0.3407407407407407,0.4931506849315068,0.5806451612903226,0.5333333333333333,0.5205479452054794,0.6129032258064516,0.5629629629629629,0.45161290322580644,0.4032258064516129,0.04838709677419355
F0 only,child14,161,200,0.335,0.4161490683229814,0.3711911357340721,0.525,0.6521739130434783,0.5817174515235457,0.545,0.6770186335403726,0.6038781163434903,0.4409937888198758,0.2732919254658385,0.031055900621118012
F0 only,child2,110,134,0.41044776119402987,0.5,0.4508196721311476,0.5970149253731343,0.7272727272727273,0.6557377049180327,0.6044776119402985,0.7363636363636363,0.6639344262295082,0.4818181818181818,0.2636363636363636,0.01818181818181818
F0 only,child3,61,77,0.5324675324675324,0.6721311475409836,0.5942028985507246,0.6753246753246753,0.8524590163934426,0.7536231884057972,0.6753246753246753,0.8524590163934426,0.7536231884057972,0.3442622950819672,0.19672131147540983,0.06557377049180328
F0 only,child4,30,38,0.34210526315789475,0.43333333333333335,0.3823529411764707,0.47368421052631576,0.6,0.5294117647058824,0.5526315789473685,0.7,0.6176470588235295,0.4,0.26666666666666666,0.1
F0 only,child5,61,74,0.44594594594594594,0.5409836065573771,0.48888888888888893,0.5945945945945946,0.7213114754098361,0.6518518518518518,0.6081081081081081,0.7377049180327869,0.6666666666666667,0.3770491803278688,0.21311475409836064,0.0
F0 only,child6,60,73,0.3287671232876712,0.4,0.3609022556390977,0.5342465753424658,0.65,0.5864661654135339,0.547945205479452,0.6666666666666666,0.6015037593984963,0.36666666666666664,0.26666666666666666,0.08333333333333333
F0 only,child7,60,75,0.36,0.45,0.39999999999999997,0.5733333333333334,0.7166666666666667,0.6370370370370371,0.6,0.75,0.6666666666666665,0.43333333333333335,0.2833333333333333,0.0
F0 only,child8,87,103,0.4563106796116505,0.5402298850574713,0.4947368421052632,0.5922330097087378,0.7011494252873564,0.6421052631578947,0.6213592233009708,0.735632183908046,0.6736842105263158,0.47126436781609193,0.3563218390804598,0.04597701149425287
F0 only,child9,61,60,0.5166666666666667,0.5081967213114754,0.5123966942148761,0.7166666666666667,0.7049180327868853,0.7107438016528925,0.7166666666666667,0.7049180327868853,0.7107438016528925,0.2459016393442623,0.26229508196721313,0.03278688524590164
F0 only,q1,28,42,0.23809523809523808,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.5357142857142857,0.4285714285714286,0.47619047619047616,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.35714285714285715,0.17857142857142858
F0 only,q102,62,77,0.2597402597402597,0.3225806451612903,0.28776978417266186,0.4805194805194805,0.5967741935483871,0.5323741007194245,0.5194805194805194,0.6451612903225806,0.5755395683453237,0.45161290322580644,0.43548387096774194,0.06451612903225806
F0 only,q14,27,28,0.4642857142857143,0.48148148148148145,0.4727272727272727,0.7142857142857143,0.7407407407407407,0.7272727272727273,0.75,0.7777777777777778,0.7636363636363638,0.37037037037037035,0.4074074074074074,0.0
F0 only,q16,29,23,0.21739130434782608,0.1724137931034483,0.19230769230769232,0.5217391304347826,0.41379310344827586,0.4615384615384615,0.5652173913043478,0.4482758620689655,0.4999999999999999,0.3793103448275862,0.4827586206896552,0.0
F0 only,q18,36,37,0.24324324324324326,0.25,0.24657534246575344,0.32432432432432434,0.3333333333333333,0.32876712328767127,0.3783783783783784,0.3888888888888889,0.3835616438356164,0.5,0.5277777777777778,0.0
F0 only,q2,35,63,0.25396825396825395,0.45714285714285713,0.326530612244898,0.4603174603174603,0.8285714285714286,0.5918367346938775,0.47619047619047616,0.8571428571428571,0.6122448979591837,0.5714285714285714,0.22857142857142856,0.22857142857142856
F0 only,q21,78,93,0.27956989247311825,0.3333333333333333,0.304093567251462,0.4838709677419355,0.5769230769230769,0.5263157894736842,0.5591397849462365,0.6666666666666666,0.608187134502924,0.5,0.46153846153846156,0.1282051282051282
F0 only,q22,85,108,0.3888888888888889,0.49411764705882355,0.4352331606217617,0.5370370370370371,0.6823529411764706,0.601036269430052,0.5740740740740741,0.7294117647058823,0.6424870466321243,0.49411764705882355,0.38823529411764707,0.07058823529411765
F0 only,q24,49,52,0.17307692307692307,0.1836734693877551,0.1782178217821782,0.46153846153846156,0.4897959183673469,0.4752475247524753,0.5192307692307693,0.5510204081632653,0.5346534653465348,0.2653061224489796,0.2857142857142857,0.08163265306122448
F0 only,q34,35,48,0.3541666666666667,0.4857142857142857,0.40963855421686746,0.4583333333333333,0.6285714285714286,0.5301204819277109,0.5208333333333334,0.7142857142857143,0.6024096385542168,0.5142857142857142,0.3142857142857143,0.05714285714285714
F0 only,q56,52,44,0.25,0.21153846153846154,0.22916666666666666,0.5454545454545454,0.46153846153846156,0.4999999999999999,0.6363636363636364,0.5384615384615384,0.5833333333333334,0.3269230769230769,0.34615384615384615,0.07692307692307693
F0 only,q58,37,65,0.24615384615384617,0.43243243243243246,0.3137254901960784,0.27692307692307694,0.4864864864864865,0.35294117647058826,0.3076923076923077,0.5405405405405406,0.39215686274509803,0.5675675675675675,0.40540540540540543,0.4864864864864865
F0 only,q59,29,41,0.1951219512195122,0.27586206896551724,0.2285714285714286,0.4634146341463415,0.6551724137931034,0.5428571428571429,0.4634146341463415,0.6551724137931034,0.5428571428571429,0.3448275862068966,0.2413793103448276,0.10344827586206896
F0 only,q61,29,40,0.225,0.3103448275862069,0.2608695652173913,0.425,0.5862068965517241,0.4927536231884058,0.475,0.6551724137931034,0.5507246376811594,0.41379310344827586,0.3448275862068966,0.06896551724137931
F0 only,q62,32,60,0.23333333333333334,0.4375,0.3043478260869565,0.3333333333333333,0.625,0.43478260869565216,0.35,0.65625,0.4565217391304347,0.78125,0.34375,0.25
F0 only,q63,34,36,0.3055555555555556,0.3235294117647059,0.31428571428571433,0.4722222222222222,0.5,0.4857142857142857,0.5,0.5294117647058824,0.5142857142857143,0.14705882352941177,0.17647058823529413,0.11764705882352941
F0 only,q73,39,57,0.3684210526315789,0.5384615384615384,0.4375,0.47368421052631576,0.6923076923076923,0.5625,0.5263157894736842,0.7692307692307693,0.625,0.48717948717948717,0.1794871794871795,0.07692307692307693
F0 only,q8,56,69,0.2318840579710145,0.2857142857142857,0.25599999999999995,0.42028985507246375,0.5178571428571429,0.46399999999999997,0.5507246376811594,0.6785714285714286,0.608,0.5178571428571429,0.4107142857142857,0.14285714285714285
F0 only,q80,56,96,0.125,0.21428571428571427,0.15789473684210525,0.2916666666666667,0.5,0.3684210526315789,0.3541666666666667,0.6071428571428571,0.4473684210526316,0.625,0.25,0.05357142857142857
F0 only,q85,23,48,0.10416666666666667,0.21739130434782608,0.14084507042253522,0.2708333333333333,0.5652173913043478,0.3661971830985915,0.3333333333333333,0.6956521739130435,0.4507042253521127,0.7391304347826086,0.21739130434782608,0.043478260869565216
F0 only,q86,51,62,0.27419354838709675,0.3333333333333333,0.3008849557522124,0.5,0.6078431372549019,0.5486725663716814,0.5645161290322581,0.6862745098039216,0.6194690265486725,0.47058823529411764,0.37254901960784315,0.0
F0 only,q87,67,95,0.23157894736842105,0.3283582089552239,0.2716049382716049,0.3894736842105263,0.5522388059701493,0.45679012345679015,0.47368421052631576,0.6716417910447762,0.5555555555555555,0.582089552238806,0.43283582089552236,0.0
F0 only,q9,43,35,0.4857142857142857,0.3953488372093023,0.43589743589743585,0.6857142857142857,0.5581395348837209,0.6153846153846154,0.7428571428571429,0.6046511627906976,0.6666666666666666,0.37209302325581395,0.5116279069767442,0.0
F0 only,q96,20,43,0.23255813953488372,0.5,0.31746031746031744,0.3023255813953488,0.65,0.4126984126984127,0.32558139534883723,0.7,0.44444444444444453,0.55,0.05,0.0
