configuration,n_features,COnPOff_F_micro,COnP_F_micro,COn_F_micro,COnPOff_F_macro,COnP_F_macro,COn_F_macro
F0 only,6,0.3696465696465696,0.5571725571725573,0.6024948024948026,0.34996829258922446,0.5386623444349725,0.5876528265352757
+ RMS energy,8,0.4951241134751774,0.6786347517730497,0.7282801418439717,0.4705853747413613,0.6552872944458145,0.7138186198171216
+ spectral flux,10,0.5546033838716765,0.7431333772797187,0.7862008349813229,0.5438011764928339,0.7341470099255054,0.7830813006932873
+ voicing-run / pitch stability,14,0.5770521136211139,0.750167747707448,0.7913218519346902,0.5590104493013274,0.7406131545912611,0.7826819688200691
+ temporal lags (full),44,0.703306939916162,0.847694457382394,0.889147647880764,0.6950552832440451,0.8400625019397967,0.8862342124378972
