metric,estimate,ci_low,ci_high,iterations
COnPOff_F,0.6849572011023176,0.6427316421545318,0.7267021924857433,10000
COnP_F,0.8348288919081894,0.8019726030029228,0.8665642116874337,10000
COn_F,0.8852967872739174,0.8650652130653513,0.9045709807963508,10000
