stem,confidence_threshold,profile_cosine_similarity,jensen_shannon_distance,dominant_pitch_class_match,symbolic_dominant_pitch_class,audio_dominant_pitch_class,symbolic_template_label,audio_template_label,descriptive_exact_label_agreement,descriptive_tonic_agreement,descriptive_mode_agreement,symbolic_pc_0,symbolic_pc_1,symbolic_pc_2,symbolic_pc_3,symbolic_pc_4,symbolic_pc_5,symbolic_pc_6,symbolic_pc_7,symbolic_pc_8,symbolic_pc_9,symbolic_pc_10,symbolic_pc_11,audio_pc_0,audio_pc_1,audio_pc_2,audio_pc_3,audio_pc_4,audio_pc_5,audio_pc_6,audio_pc_7,audio_pc_8,audio_pc_9,audio_pc_10,audio_pc_11
child1,0.2,0.9973757185939265,0.06354298355640786,True,4,4,E minor,E minor,True,True,True,0.06290923901124708,0.10579905385507067,0.15576929101788867,0.17212318681662944,0.21567091700867824,0.10633165199411021,0.03443090322378503,0.06015226040916136,0.0065791534822519735,0.026034650208339945,0.010182023246342277,0.044017669726495054,0.06914123696679061,0.11211987761267289,0.1509246458308237,0.1641472759215326,0.21824520237697576,0.10046819178050176,0.04598115613720188,0.05824089816902574,0.01712905500616199,0.02718067404269186,0.008162964449069826,0.02825882170655135
child10,0.2,0.9884111147870359,0.07603360883337788,False,5,6,F minor,F minor,True,True,True,0.05053394355453842,0.015942028985507218,0.02787948131197565,0.044164759725400356,0.11170861937452334,0.19469870327993904,0.17974828375286056,0.1193745232646834,0.17318840579710124,0.0513348588863465,0.02463768115942025,0.006788710907704073,0.04518342765619062,0.02259346324976345,0.02295680779837163,0.05754723854056712,0.14777483910185119,0.16800846991177262,0.16854429641278834,0.1348644465866104,0.1542968203247627,0.0580991695017473,0.016177582598169236,0.003953438317405433
child11,0.2,0.9793978878852013,0.1093333986736126,True,6,6,Eb minor,Eb minor,True,True,True,0.03871391076115485,0.019723637486490624,0.10394472749729816,0.18573413617415477,0.11452061139416403,0.03948587308939315,0.22120580515670812,0.08236838042303522,0.06110081828006796,0.044889609387061914,0.06870464721321627,0.019607843137254864,0.044696510372753954,0.037112910007925146,0.1000104575426448,0.16558665947248233,0.1344783257422798,0.06521338743668326,0.17466364450273061,0.10694446444124456,0.04431686151405652,0.04874035371077303,0.047266390597279925,0.030970034659146037
child12,0.2,0.9874568048136384,0.09116319049892242,True,3,3,Eb minor,Eb minor,True,True,True,0.0636340512124811,0.02942173986772925,0.08538239782940495,0.26157368153298294,0.12497880278107502,0.15287434288621318,0.09509072409699838,0.05574868577242666,0.05362896387993903,0.0,0.0,0.07766661014074956,0.06098701857232231,0.04583432639687289,0.08951910964995091,0.23754261792460934,0.1668424620792939,0.12616398514272442,0.09301716617422955,0.04507319173307736,0.048169225497091205,0.0,0.005780834058264718,0.08107006277156338
child13,0.2,0.9898450098024393,0.12999323833441104,True,6,6,F# minor,F# minor,True,True,True,0.021811856014987346,0.09844328471385881,0.022971586600651184,0.08635532360943851,0.16918685043935922,0.1576787546277712,0.18859003523796794,0.07979838529818466,0.03202640617333516,0.08376823230295721,0.05936928498148898,0.0,0.02186666349142594,0.08645691159390018,0.036717274123834506,0.0928660063970175,0.18594790351003973,0.14990722911237836,0.19690328614267608,0.04789744110028226,0.030820249141621285,0.06932806029227334,0.058189254742120736,0.02309972035243008
child14,0.2,0.994958042538365,0.0662349648676823,True,1,1,C# major,C# major,True,True,True,0.05836984466089766,0.3017344389325412,0.15611760871926691,0.16685374950211915,0.053916066191114234,0.08648658435021882,0.040916826592316366,0.052196111090994486,0.03897961400586568,0.024006952239562583,0.0051598653003584105,0.015262338414744468,0.07632034252760098,0.2740523745209684,0.15904411014699954,0.16720626042375683,0.06766416114759054,0.07589050896733669,0.05632335677308325,0.041910730415383464,0.035975564232245384,0.02033034269460292,0.0027511181662572205,0.022531129984174728
child2,0.2,0.9943238769207378,0.08663993832095161,True,6,6,F# minor,F# minor,True,True,True,0.022884950514582583,0.0,0.007365271429980489,0.033801334955446696,0.07963699733666502,0.14358991220859593,0.40005918521684714,0.1553940749021803,0.07611876500180875,0.03153256830960447,0.01933383750369899,0.030283102620589798,0.03344714801164634,0.007359603487454401,0.00637531398987696,0.03622327144031835,0.07966269194121016,0.1704644659352969,0.3546548705130975,0.15084232583980506,0.0699302615555441,0.04196799624566892,0.013245058222754904,0.035826992817326396
child3,0.2,0.9865889879091732,0.10712492381208386,True,5,5,F major,F minor,False,True,False,0.032881806108897745,0.04467463479415678,0.050517928286852566,0.029641434262948303,0.09428950863213789,0.22911022576361245,0.14177954847277566,0.17460823373173978,0.03952191235059752,0.10571049136786176,0.057264276228419696,0.0,0.010295159891349834,0.058190682790760215,0.04796836787491312,0.03370454805656899,0.12216199392205535,0.20498352811345508,0.14542047811560488,0.16855186723715135,0.07241870612952934,0.0885496537710247,0.047755014097587145,0.0
child4,0.2,0.9727281574197646,0.21135671496615566,True,8,8,F minor,C# major,False,False,False,0.0,0.0,0.0956731379266592,0.027280801928689227,0.06712346148965853,0.15454891511229524,0.16292348686714883,0.11153406928054813,0.23791397030833655,0.0,0.14300215708666428,0.0,0.0,0.0294506363365959,0.0673462205242595,0.02549826274434967,0.07848463756411281,0.13772118083847645,0.1924138214018292,0.12286122586276073,0.2149255227359313,0.04265038742433785,0.08864810456734658,0.0
child5,0.2,0.9860807113202371,0.16445196581239344,True,6,6,Eb minor,Eb minor,True,True,True,0.0,0.0,0.0,0.15987701767870874,0.0221096893792106,0.019984627209838755,0.2826332685264728,0.18501605100149204,0.17619930370303377,0.0620337297101777,0.09214631279106564,0.0,0.0,0.0,0.006076601045345841,0.13535729554922704,0.05684433755219961,0.053092234607732325,0.2608795992128859,0.18926574099517512,0.14801617548659535,0.07416724328507313,0.06040489243792116,0.01589587982784455
