Variant,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
Ours-OnOff (baseline),1959,2043,0.67498776309349,0.7039305768249107,0.6891554222888555,0.8310844577711145,0.8640679660169915,0.15569167942827974,0.1720265441551812,0.08116385911179173
+ post-processing,1959,1732,0.6027713625866051,0.5329249617151608,0.5657003522080737,0.7629368734760227,0.7976158222703875,0.09239407861153649,0.20418580908626852,0.07554874936191934
+ key-aware snap,1959,2043,0.5633871757219775,0.5875446656457376,0.5752123938030985,0.6946526736631684,0.8640679660169915,0.15569167942827974,0.1720265441551812,0.08116385911179173
+ post-processing + key snap,1959,1732,0.5028868360277137,0.4446145992853497,0.47195881874830675,0.6345163912218911,0.7976158222703875,0.09239407861153649,0.20418580908626852,0.07554874936191934
