stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F01_0052_0001_1,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.7272727272727273,0.0
F01_0052_0001_2,22,22,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.7727272727272727,0.7727272727272727,0.0
F01_0052_0002_2,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.6818181818181818,0.0
F01_0052_0003_1,22,23,0.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.7727272727272727,0.7272727272727273,0.0
F01_0052_0003_2,22,24,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.13636363636363635,0.13043478260869565,0.7272727272727273,0.7272727272727273,0.0
F01_0067_0001_1,22,23,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.08695652173913043,0.09090909090909091,0.08888888888888888,0.6818181818181818,0.6818181818181818,0.0
F01_0067_0001_2,22,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6818181818181818,0.6818181818181818,0.0
F01_0067_0002_1,48,47,0.0,0.0,0.0,0.0,0.0,0.0,0.14893617021276595,0.14583333333333334,0.14736842105263157,0.75,0.75,0.020833333333333332
F01_0067_0002_2,48,48,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.020833333333333332,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.7291666666666666,0.7291666666666666,0.020833333333333332
F01_0095_0001_1_D,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.8409090909090909,0.8181818181818182,0.0
F01_0095_0001_2_D,44,44,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.022727272727272728,0.11363636363636363,0.11363636363636363,0.11363636363636363,0.8636363636363636,0.8636363636363636,0.0
F01_0095_0002_1_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
F01_0095_0002_2_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,0.0
F01_0095_0003_1_D,22,22,0.0,0.0,0.0,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.8636363636363636,0.8181818181818182,0.0
F01_0095_0003_2_D,22,23,0.0,0.0,0.0,0.043478260869565216,0.045454545454545456,0.04444444444444444,0.08695652173913043,0.09090909090909091,0.08888888888888888,0.9545454545454546,0.8636363636363636,0.0
F01_0113_0001_1_D,20,20,0.05,0.05,0.05000000000000001,0.2,0.2,0.20000000000000004,0.6,0.6,0.6,0.75,0.7,0.0
F01_0113_0001_2_D,20,20,0.05,0.05,0.05000000000000001,0.2,0.2,0.20000000000000004,0.55,0.55,0.55,0.8,0.75,0.0
F01_0113_0002_1_D,22,23,0.0,0.0,0.0,0.0,0.0,0.0,0.21739130434782608,0.22727272727272727,0.22222222222222224,0.9090909090909091,0.8636363636363636,0.0
F01_0113_0002_2_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.8636363636363636,0.8636363636363636,0.0
F01_0113_0003_1_D,24,24,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.2916666666666667,0.2916666666666667,0.2916666666666667,0.8333333333333334,0.8333333333333334,0.0
F01_0113_0003_2_D,24,24,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334,0.8333333333333334,0.8333333333333334,0.0
F01_0126_0001_1,28,28,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.5714285714285714,0.5,0.0
