stem,Voicing Recall,Voicing False Alarm,Raw Pitch Accuracy,Raw Chroma Accuracy,Overall Accuracy
child1,0.896462113571139,0.26322528182439076,0.90641627543036,0.90641627543036,0.7865054045120713
child10,0.930513172378044,0.3851897320308136,0.8972105464272068,0.8972105464272068,0.771580692790103
child11,0.9298570761102057,0.3084799023183162,0.9245283018867925,0.9245283018867925,0.8102571143892199
child12,0.9260220295208468,0.45480991154350875,0.8552687261955142,0.8552687261955142,0.7137896957444905
child13,0.9324302719955776,0.43903240383547504,0.910873440285205,0.910873440285205,0.7746461678589275
child14,0.9117309416004421,0.26996927951459543,0.9099474542489582,0.9099474542489582,0.7985428525638666
child2,0.8955047756020484,0.262494431373907,0.9165023011176857,0.9165023011176857,0.7922089834810275
child3,0.9306370387743185,0.47167556847522635,0.9152093269740329,0.9152093269740329,0.7325004350206751
child4,0.9155124940757944,0.3866798218671717,0.8738965952080706,0.8738965952080706,0.7187915173462095
child5,0.9265095500602213,0.43297116637745575,0.9249547920433996,0.9249547920433996,0.785231630124537
child6,0.9366396462894998,0.44837615577134005,0.8816120906801007,0.8816120906801007,0.7522673424755946
child7,0.9359836780701909,0.3576461132768051,0.9432071269487751,0.9432071269487751,0.8190903417390774
child8,0.9281442333685892,0.3258929807697634,0.8953488372093024,0.8953488372093024,0.7861274149105125
child9,0.9315929197246795,0.36874259831335804,0.9578598484848485,0.9578598484848485,0.8176493870887848
q1,0.9036310528601499,0.4028263920313315,0.8130360205831904,0.8130360205831904,0.7054568029149597
q102,0.914397783067756,0.5334327052106506,0.889315910837817,0.889315910837817,0.7429216399256604
q14,0.9462432387997123,0.18460286479434151,0.9201053555750659,0.9201053555750659,0.8481755012588884
q16,0.9461324825091889,0.3592474671689621,0.9103299856527977,0.9103299856527977,0.8224145940244846
q18,0.9506132393834021,0.26840456455743705,0.8904240114340162,0.8904240114340162,0.8199072722289289
q2,0.8937862809662485,0.4138090225658342,0.9130952380952381,0.9130952380952381,0.7531176347509384
q21,0.8881773397882676,0.4953582832070623,0.8166666666666667,0.8166666666666667,0.6869561045442933
q22,0.8676536456467808,0.35174017878703606,0.8381679389312977,0.8381679389312977,0.7177414940659747
q24,0.7619346284639167,0.33378738727409935,0.7875108412836079,0.7875108412836079,0.6318818870932698
q34,0.9225531196217505,0.48937006808525685,0.8638073739653875,0.8638073739653875,0.7195189765814959
q56,0.9039116048504233,0.478521732417263,0.7969255663430421,0.7969255663430421,0.6623744472476123
q58,0.909548543872128,0.4120631609493052,0.792803970223325,0.792803970223325,0.6694245702694687
q59,0.9174790862042298,0.44562654126338086,0.9081632653061225,0.9081632653061225,0.7373127387934425
q61,0.8802478994974172,0.5524651775188114,0.9130824372759857,0.9130824372759857,0.7195614948386555
q62,0.9192748889244421,0.4192365641554282,0.9270256668344238,0.9270256668344238,0.7822215385916366
q63,0.9238091659847422,0.5309455010688098,0.962059620596206,0.962059620596206,0.7300771651117253
q73,0.8895825529873507,0.32147741308452715,0.8415466262319939,0.8415466262319939,0.7268399106272057
q8,0.8785099391408008,0.367738258418526,0.8137931034482758,0.8137931034482758,0.6929258195540853
q80,0.8834599327716108,0.22675432704511475,0.8246996996996997,0.8246996996996997,0.7504771674452565
q85,0.9188867654926203,0.26121951631755796,0.8863006100942873,0.8863006100942873,0.7978154482254414
q86,0.8809161216271272,0.21915463054363699,0.8837322911577918,0.8837322911577918,0.7880278691200313
q87,0.8801229344032527,0.1990990762010228,0.7614644970414202,0.7622041420118343,0.7172018838606649
q9,0.9458469526467419,0.304714926666529,0.9231950844854071,0.9231950844854071,0.8264127130914278
q96,0.8583929059862927,0.10955909731715074,0.8457814661134163,0.8457814661134163,0.7929000597942687
