setting,factor,micro_ref_notes,micro_est_notes,micro_COnPOff_P,micro_COnPOff_R,micro_COnPOff_F,micro_COnP_P,micro_COnP_R,micro_COnP_F,micro_COn_P,micro_COn_R,micro_COn_F,micro_Split,micro_Merged,micro_Spurious,macro_COnPOff_F,macro_COnP_F,macro_COn_F,macro_Split,macro_Merged,macro_Spurious
minus_10_percent,0.9,2152,2215,0.6880361173814898,0.70817843866171,0.6979619876345317,0.8316027088036118,0.8559479553903345,0.8435997252118158,0.8753950338600451,0.9010223048327137,0.8880238149759561,0.1770446096654275,0.17657992565055763,0.032527881040892194,0.6936259502337199,0.8362075999262863,0.8848576173111993,0.18463868023748464,0.18437167481297143,0.037593326664317674
selected,1.0,2152,2121,0.7006129184347006,0.6905204460966543,0.6955300725485608,0.8486562942008486,0.8364312267657993,0.8424994149309619,0.8953323903818954,0.8824349442379182,0.8888368827521648,0.17425650557620817,0.19609665427509293,0.02509293680297398,0.6849572011023176,0.8348288919081894,0.8852967872739174,0.17644692322764802,0.20300804240402245,0.028399822367781304
plus_10_percent,1.1,2152,2047,0.6961406936980947,0.6621747211895911,0.6787330316742082,0.8578407425500733,0.8159851301115242,0.836389616575375,0.9066927210552027,0.862453531598513,0.8840200047630388,0.17518587360594795,0.21050185873605948,0.020446096654275093,0.665835013539593,0.8275402468177315,0.8795462929085448,0.17734539449758438,0.2160431401441056,0.02292164739242941
