gap_threshold_seconds,boundary_window_seconds,error_type,events,near_boundary_events,observed_near_fraction,time_coverage_expected_count,time_coverage_expected_fraction,enrichment_ratio,circular_shift_p_value_one_sided,permutations,phrase_boundaries,boundary_window_coverage
0.2,0.1,split,397,19,0.04785894206549118,46.931394300882054,0.11821509899466512,0.4048462715211277,1.0,10000,732.0,0.11590202849495217
0.2,0.1,merged,464,6,0.01293103448275862,54.3171125497637,0.11706274256414591,0.11046242552939428,1.0,10000,732.0,0.11590202849495217
0.2,0.1,spurious,54,6,0.1111111111111111,6.186524110298016,0.11456526130181512,0.969849933989988,0.5946405359464053,10000,732.0,0.11590202849495217
0.2,0.1,all,915,31,0.033879781420765025,107.43503096094376,0.1174153343835451,0.28854647988391735,1.0,10000,732.0,0.11590202849495217
0.2,0.15,split,397,26,0.0654911838790932,68.83929658550352,0.17339873195340938,0.37769125034138123,1.0,10000,732.0,0.17044926518004058
0.2,0.15,merged,464,9,0.01939655172413793,79.6063922029226,0.1715655004373332,0.1130562477578224,1.0,10000,732.0,0.17044926518004058
0.2,0.15,spurious,54,6,0.1111111111111111,9.146550083935873,0.16938055710992359,0.6559850375211772,0.9146085391460854,10000,732.0,0.17044926518004058
0.2,0.15,all,915,41,0.04480874316939891,157.59223887236195,0.1722319550517617,0.26016509628502055,1.0,10000,732.0,0.17044926518004058
0.2,0.2,split,397,37,0.09319899244332494,89.01587514365787,0.2242213479689115,0.41565619548521787,1.0,10000,732.0,0.22091132353148324
0.2,0.2,merged,464,20,0.04310344827586207,102.86257482320259,0.22168658367069524,0.19443417622371847,1.0,10000,732.0,0.22091132353148324
0.2,0.2,spurious,54,12,0.2222222222222222,11.901596486385351,0.22039993493306206,1.0082680935895632,0.5375462453754625,10000,732.0,0.22091132353148324
0.2,0.2,all,915,69,0.07540983606557378,203.7800464532458,0.22271043328223586,0.33860037428066336,1.0,10000,732.0,0.22091132353148324
0.3,0.1,split,397,10,0.02518891687657431,38.642929258067475,0.09733735329488029,0.25877955403477343,1.0,10000,596.0,0.0977606339389484
0.3,0.1,merged,464,2,0.004310344827586207,44.576454635333576,0.09606994533477063,0.0448667355078234,1.0,10000,596.0,0.0977606339389484
0.3,0.1,spurious,54,4,0.07407407407407407,5.392246901166857,0.09985642409568253,0.7418057951193627,0.795920407959204,10000,596.0,0.0977606339389484
0.3,0.1,all,915,16,0.017486338797814208,88.61163079456793,0.09684331234379008,0.18056320436189097,1.0,10000,596.0,0.0977606339389484
0.3,0.15,split,397,16,0.04030226700251889,57.95746631175222,0.14598858013035823,0.2760645179679918,1.0,10000,596.0,0.14662437776165474
0.3,0.15,merged,464,2,0.004310344827586207,66.85901393680562,0.14409270245001213,0.029913692742916866,1.0,10000,596.0,0.14662437776165474
0.3,0.15,spurious,54,4,0.07407407407407407,8.088370351750218,0.14978463614352255,0.49453719674624597,0.9708029197080292,10000,596.0,0.14662437776165474
0.3,0.15,all,915,22,0.024043715846994537,132.90485060030807,0.14525120284186674,0.16553195688968333,1.0,10000,596.0,0.14662437776165474
0.3,0.2,split,397,25,0.06297229219143577,76.71210638717616,0.19322948712135055,0.3258938018703552,1.0,10000,596.0,0.1938897851096049
0.3,0.2,merged,464,12,0.02586206896551724,88.41777624272022,0.19055555224724186,0.13571931471176313,1.0,10000,596.0,0.1938897851096049
0.3,0.2,spurious,54,10,0.18518518518518517,10.69034600727283,0.1979693705050524,0.9354234178385643,0.657034296570343,10000,596.0,0.1938897851096049
0.3,0.2,all,915,47,0.05136612021857923,175.82022863716918,0.1921532553411685,0.2673185012004016,1.0,10000,596.0,0.1938897851096049
0.5,0.1,split,397,7,0.017632241813602016,26.941154654679305,0.067861850515565,0.25982553790745555,1.0,10000,398.0,0.06514206549440664
0.5,0.1,merged,464,0,0.0,30.029425003820503,0.06471858837030281,0.0,1.0,10000,398.0,0.06514206549440664
0.5,0.1,spurious,54,3,0.05555555555555555,3.8009054433989236,0.0703871378407208,0.7892856175125679,0.7403259674032596,10000,398.0,0.06514206549440664
0.5,0.1,all,915,10,0.01092896174863388,60.77148510189872,0.06641692360863248,0.16455085774574174,1.0,10000,398.0,0.06514206549440664
0.5,0.15,split,397,11,0.027707808564231738,40.411731982018686,0.10179277577334682,0.2721981825697172,1.0,10000,398.0,0.09771309824160945
0.5,0.15,merged,464,0,0.0,45.04413750573045,0.09707788255545355,0.0,1.0,10000,398.0,0.09771309824160945
0.5,0.15,spurious,54,3,0.05555555555555555,5.701358165098331,0.10558070676108021,0.5261904116750502,0.9399060093990601,10000,398.0,0.09771309824160945
0.5,0.15,all,915,14,0.015300546448087432,91.15722765284745,0.09962538541294803,0.15358080056269335,1.0,10000,398.0,0.09771309824160945
0.5,0.2,split,397,19,0.04785894206549118,53.8823093093584,0.13572370103112946,0.35262037287440534,1.0,10000,398.0,0.13028413098881278
0.5,0.2,merged,464,6,0.01293103448275862,60.05885000764075,0.12943717674060506,0.09990201276309277,1.0,10000,398.0,0.13028413098881278
0.5,0.2,spurious,54,8,0.14814814814814814,7.601810886797792,0.1407742756814406,1.0523808233500982,0.49545045495450457,10000,398.0,0.13028413098881278
0.5,0.2,all,915,33,0.036065573770491806,121.54297020379694,0.1328338472172644,0.271508915280475,1.0,10000,398.0,0.13028413098881278
