stem,error_type,event_time,reference_index,estimate_index,distance_to_phrase_boundary_seconds,near_phrase_boundary
child13,merged,12.914,27,29,1.2249999999999996,False
child13,merged,15.588,32,33,0.2909999999999986,False
child13,merged,23.614,49,51,1.2289999999999992,False
child13,merged,23.903,50,52,1.5179999999999971,False
child13,merged,24.717,52,53,0.7070000000000007,False
child13,merged,27.09,58,60,1.2629999999999981,False
child13,spurious,0.12,-1,0,0.997,False
child13,spurious,4.54,-1,9,3.293,False
child13,spurious,29.96,-1,65,0.8180000000000014,False
child14,split,1.13,1,1,0.31999999999999984,False
child14,split,1.53,2,2,0.51,False
child14,split,4.96,8,8,0.13900000000000023,True
child14,split,7.41,12,13,1.8840000000000003,False
child14,split,7.9,13,14,1.8680000000000003,False
child14,split,12.22,23,22,0.4530000000000012,False
child14,split,17.22,32,30,1.2439999999999998,False
child14,split,18.31,35,34,0.15399999999999991,False
child14,split,24.87,41,41,1.6560000000000024,False
child14,split,25.83,43,44,2.6159999999999997,False
child14,split,26.39,43,45,3.176000000000002,False
child14,split,35.1,57,58,1.945999999999998,False
child14,split,43.12,73,74,0.35300000000000153,False
child14,split,46.21,78,80,2.1850000000000023,False
child14,split,47.06,81,82,2.442,False
child14,split,48.06,83,84,1.4420000000000002,False
child14,split,49.11,85,87,0.392000000000003,False
child14,split,50.87,89,90,0.6439999999999984,False
child14,split,51.99,92,93,0.10799999999999699,True
child14,split,62.57,109,108,2.368000000000002,False
child14,split,71.52,125,123,1.5279999999999916,False
child14,split,73.71,129,127,0.7000000000000028,False
child14,split,80.34,144,142,1.5,False
child14,split,80.76,146,143,1.6099999999999994,False
child14,split,82.13,149,146,0.2400000000000091,False
child14,split,83.35,152,149,0.5599999999999881,False
child14,merged,1.138,1,0,0.32799999999999985,False
child14,merged,1.545,2,1,0.4950000000000001,False
child14,merged,3.2,5,4,0.839,False
child14,merged,7.559,13,13,2.0330000000000004,False
child14,merged,7.921,14,14,1.8470000000000004,False
child14,merged,9.711,18,17,0.057000000000000384,True
child14,merged,12.9,25,23,1.133000000000001,False
child14,merged,17.065,32,29,1.3989999999999974,False
child14,merged,26.407,44,45,3.1930000000000014,False
child14,merged,35.083,57,57,1.928999999999995,False
child14,merged,42.183,71,71,1.2899999999999991,False
child14,merged,46.311,79,80,2.2860000000000014,False
child14,merged,46.967,81,81,2.5350000000000037,False
child14,merged,48.015,83,83,1.4870000000000019,False
child14,merged,49.12,86,87,0.382000000000005,False
child14,merged,50.897,90,90,0.6709999999999994,False
child14,merged,55.334,97,97,1.2039999999999935,False
child14,merged,59.213,103,102,1.0670000000000002,False
child14,merged,59.825,104,102,1.679000000000002,False
child14,merged,68.001,119,117,1.3159999999999883,False
child14,merged,68.624,120,117,0.6929999999999978,False
child14,merged,72.796,128,125,1.61399999999999,False
child14,merged,73.723,130,127,0.6869999999999976,False
child14,merged,80.467,145,142,1.6269999999999953,False
child14,merged,80.767,146,142,1.6030000000000086,False
child14,merged,81.084,147,143,1.2860000000000014,False
child14,merged,82.271,150,146,0.09900000000000375,True
child14,merged,83.443,153,149,0.6529999999999916,False
child14,merged,84.997,157,151,0.3580000000000041,False
child14,spurious,86.56,-1,155,0.2950000000000017,False
child2,split,7.17,14,14,0.6529999999999996,False
child2,split,20.03,44,43,0.47900000000000276,False
child2,split,20.47,44,44,0.5899999999999999,False
child2,split,44.48,88,84,0.7259999999999991,False
child2,split,46.74,94,90,0.2839999999999989,False
child2,split,50.43,102,100,0.5259999999999962,False
child2,split,51.0,104,101,0.7430000000000021,False
child2,split,53.34,108,104,0.001999999999995339,True
child2,merged,7.162,14,13,0.6449999999999996,False
child2,merged,16.404,35,34,2.3529999999999998,False
child2,merged,20.017,44,42,0.4660000000000011,False
child2,merged,20.483,45,44,0.5769999999999982,False
child2,merged,20.909,46,44,0.1509999999999998,False
child2,merged,21.783,48,45,0.41600000000000037,False
child2,merged,22.622,50,46,0.17999999999999972,False
child2,merged,44.446,88,83,0.6920000000000002,False
child2,merged,46.746,94,89,0.28999999999999915,False
child2,merged,50.454,103,100,0.5499999999999972,False
child2,merged,50.974,104,100,0.7690000000000055,False
child2,merged,51.516,105,101,0.22700000000000387,False
child2,merged,52.646,107,102,0.2609999999999957,False
