time,midi,confidence,rms,spectral_flux
0.0,47.30974997467979,0.0186001993715763,0.010699929669499397,0.0
0.01,47.23242729921071,0.0111402841284871,0.011196689680218697,0.03621854254552416
0.02,47.30974997467979,0.0113835129886865,0.016579685732722282,0.049103778171663406
0.03,47.30974997467979,0.0111402841284871,0.017222469672560692,0.054653050790051956
0.04,47.30974997467979,0.0111402841284871,0.0166975948959589,0.0437460027694499
0.05,47.30974997467979,0.0113835129886865,0.0169126708060503,0.02936596899592269
0.06,47.28164617180767,0.0186001993715763,0.02092909999191761,0.04275807766202524
0.07,47.28164617180767,0.0186001993715763,0.018789654597640038,0.07817979856496056
0.08,47.26910652759335,0.0186001993715763,0.020015962421894073,0.04980983712936938
0.09,47.24780833822629,0.0241601802408695,0.021292496472597122,0.02039101104019543
0.1,47.26910652759335,0.0713698491454124,0.024607045575976372,0.06146076967633757
0.11,47.24780833822629,0.0713698491454124,0.02249535359442234,0.04039504734555433
0.12,47.24780833822629,0.0713698491454124,0.021078595891594887,0.03561948558359808
0.13,47.26910652759335,0.0713698491454124,0.025322940200567245,0.039195517830245885
0.14,47.26910652759335,0.0713698491454124,0.026789400726556778,0.05139188125112688
0.15,47.26910652759335,0.0188364516943693,0.02953478693962097,0.07920765252270216
0.16,47.2717647220919,0.0078724073246121,0.028752442449331284,0.029162438760761696
0.17,47.29084034948557,0.0067532206885516,0.026985730975866318,0.02054118635978432
0.18,47.29365718038496,0.0049079013988375,0.024786563590168953,0.026231466513054146
0.19,47.29365718038496,0.0037490928079932,0.022166654467582703,0.029666331115315588
0.2,47.29365718038496,0.0035788244567811,0.021491965278983116,0.03670289220385185
0.21,47.29365718038496,0.0027121156454086,0.023239031434059143,0.027923291706348944
0.22,47.29365718038496,0.0027121156454086,0.026126226410269737,0.026626110956067015
0.23,47.29084034948557,0.0024377643130719,0.02804707922041416,0.02572013659070546
0.24,47.29084034948557,0.0023958061356097,0.027002520859241486,0.03610553290984562
0.25,47.29084034948557,0.002284743823111,0.03058343566954136,0.020983702021207366
0.26,47.29365718038496,0.0016776920529082,0.03153805062174797,0.04122436543898031
0.27,47.303550322468965,0.0016776920529082,0.03142126277089119,0.03496488456799963
0.28,47.32252482813194,0.0016776920529082,0.030546095222234726,0.04571392079136355
0.29,47.35932191375456,0.0016776920529082,0.03218088299036026,0.02137402016151736
0.3,47.35932191375456,0.0015192897990345,0.029983380809426308,0.024136101952861665
0.31,47.35932191375456,0.0009801964042708,0.0295551847666502,0.012789672873916193
0.32,56.93330442575756,0.0009526709327474,0.027103586122393608,0.033597644881401524
0.33,56.96139966489766,0.0009526709327474,0.024141507223248482,0.021754115808686476
0.34,57.011998554139446,0.0009526709327474,0.02141367271542549,0.02315638473845506
0.35,57.02613863124455,0.0009526709327474,0.0191172007471323,0.02647161900041923
0.36,57.03329841937854,0.0009526709327474,0.01677333563566208,0.022569383328067853
0.37,57.041314155802496,0.0009526709327474,0.01724625751376152,0.024512130273931038
0.38,57.041314155802496,0.0009526709327474,0.01782269962131977,0.025070440771203177
0.39,57.041314155802496,0.0009526709327474,0.01883418671786785,0.032999463885541994
0.4,57.041314155802496,0.0022910044062882,0.01957125961780548,0.03230059250904449
0.41,57.03329841937854,0.0026128536555916,0.02099352516233921,0.021901035843881006
0.42,57.03329841937854,0.0022910044062882,0.022148380056023598,0.034298384948307024
0.43,57.00173980164308,0.0015814090147614,0.02224131114780903,0.04447196836364595
0.44,57.00173980164308,0.0015814090147614,0.021061349660158157,0.0460441905081224
0.45,57.00173980164308,0.0015814090147614,0.018979206681251526,0.023082789204137998
0.46,57.00173980164308,0.0016312677180394,0.018130768090486526,0.02727867049110756
0.47,57.03262847605123,0.0017100736731663,0.013361658900976181,0.037170522846037286
0.48,57.06117574584454,0.0022910044062882,0.015492348000407219,0.04279464991275168
0.49,57.06117574584454,0.0036434882786124,0.015762807801365852,0.03898189609616134
0.5,57.13597922685757,0.004464432131499,0.015723202377557755,0.05226408828187247
0.51,57.13597922685757,0.004464432131499,0.015099459327757359,0.035375182885430234
0.52,57.13597922685757,0.004464432131499,0.015114731155335903,0.026833540211043776
0.53,57.16033725311239,0.0057881218381226,0.014491071924567223,0.05626148997062367
0.54,57.16033725311239,0.0061420672573149,0.015230239368975163,0.026106437015317185
0.55,57.16033725311239,0.0072452751919627,0.01684114709496498,0.022689495863592216
0.56,57.14092860878692,0.0079838391393423,0.018709663301706314,0.03204473591467285
0.57,57.14092860878692,0.0089241825044155,0.028655800968408585,0.029176433928992752
0.58,57.14092860878692,0.00939073972404,0.05565958842635155,0.048726696527040904
0.59,57.14092860878692,0.2782419919967651,0.08540423959493637,0.08353562768244503
0.6,57.198773636335645,0.544804573059082,0.142422154545784,0.07371568758651818
0.61,57.23501648219786,0.5522260665893555,0.16321688890457153,0.05433545266050324
0.62,57.9091407492681,0.6018397212028503,0.17535245418548584,0.027091877506259975
0.63,58.02407490050486,0.715319812297821,0.18717603385448456,0.024646553785415144
0.64,58.55350171330294,0.8574510216712952,0.20339272916316986,0.0955361774588785
0.65,58.58477755486521,0.8801000118255615,0.20300233364105225,0.04533207007123635
0.66,58.81415139328475,0.8961756229400635,0.2350146323442459,0.0405195289537197
0.67,59.137355941267465,0.91882985830307,0.2591230273246765,0.024911402263493344
0.68,59.1779664563159,0.91882985830307,0.2825002372264862,0.014563378214465225
0.69,59.22138977151325,0.91882985830307,0.2925650179386139,0.019082688687886804
0.7,59.22561810071938,0.91882985830307,0.30052822828292847,0.013329938861530157
0.71,59.22561810071938,0.91882985830307,0.29637888073921204,0.009144894862182685
0.72,59.22561810071938,0.91882985830307,0.2946110963821411,0.00939571102138835
0.73,59.22561810071938,0.9236966967582704,0.28370267152786255,0.017908520389537354
0.74,59.22138977151325,0.91882985830307,0.2808286249637604,0.024668965975081843
0.75,59.19650577737602,0.9089714288711548,0.26807308197021484,0.017267471788706433
0.76,59.145783749952514,0.9058504104614258,0.254388689994812,0.013598935291018391
0.77,59.145783749952514,0.9058504104614258,0.2293432354927063,0.023832469554325487
0.78,59.145783749952514,0.9020599126815796,0.22031570971012115,0.024519697182948184
0.79,59.145783749952514,0.8979458808898926,0.21043390035629272,0.031937017971864046
0.8,59.145783749952514,0.8979458808898926,0.214138001203537,0.06301305741665812
0.81,59.19244171531574,0.9020599126815796,0.22378306090831757,0.06613771477855342
0.82,59.28818297835744,0.9020599126815796,0.2377970963716507,0.05379564041508238
0.83,59.4870718024043,0.9033539295196532,0.23860281705856323,0.05328107253934346
0.84,59.60174588394573,0.9033539295196532,0.23977525532245636,0.03388553711481775
0.85,59.94907928752522,0.9057261347770692,0.24523207545280457,0.03449694107981317
0.86,60.15432343614143,0.9110496640205384,0.2507861852645874,0.04008242177071541
0.87,60.248115122837234,0.9110496640205384,0.2551423907279968,0.04922139018561093
0.88,60.56637986633199,0.9135247468948364,0.25920039415359497,0.021107682306176042
0.89,60.57795592472,0.9171763062477112,0.2633102536201477,0.01023816319556879
0.9,60.587654315353554,0.9239283800125122,0.2626926004886627,0.013929129922937046
0.91,60.587654315353554,0.9283183813095092,0.2637009024620056,0.017812145220585815
0.92,60.587654315353554,0.9345353245735168,0.26633220911026,0.02464920434922817
0.93,60.57795592472,0.9413344860076904,0.26654934883117676,0.019597552633954907
