onset_threshold,offset_threshold,min_sep,min_duration,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
0.5,0.6,0.18,0.08,1959,1984,0.6678427419354839,0.6763654925982644,0.6720770986558459,0.8171443063657114,0.8536647222926705,0.17151607963246554,0.2026544155181215,0.08473711077080143
0.4,0.55,0.2,0.08,1959,2038,0.6589793915603532,0.6855538540071465,0.6720040030022516,0.8211158368776582,0.8536402301726294,0.16539050535987748,0.1919346605410924,0.09290454313425217
0.45,0.4,0.2,0.12,1959,1955,0.6726342710997443,0.6712608473711077,0.6719468574348493,0.8180889115993868,0.8569238630556976,0.1362940275650842,0.1807044410413476,0.07248596222562532
0.45,0.45,0.22,0.1,1959,1947,0.6738572162300975,0.6697294538029607,0.6717869943676396,0.8161802355350742,0.8530465949820789,0.1296579887697805,0.18019397651863195,0.07656967840735068
0.5,0.5,0.18,0.06,1959,2025,0.6607407407407407,0.6830015313935681,0.6716867469879517,0.8072289156626506,0.8453815261044177,0.13986727922409392,0.1755997958141909,0.10515569167942827
0.5,0.4,0.18,0.12,1959,1939,0.6750902527075813,0.6681980602348137,0.6716264751154438,0.8163160595177015,0.8589020010261672,0.13272077590607453,0.17815211842776926,0.06789178152118427
0.4,0.55,0.2,0.12,1959,1993,0.6658304064224787,0.6773864216436958,0.6715587044534412,0.826417004048583,0.8588056680161943,0.16794282797345583,0.19652884124553344,0.07554874936191934
0.4,0.45,0.22,0.12,1959,1967,0.6700559227249618,0.6727922409392547,0.6714212939378503,0.8211920529801324,0.8543046357615893,0.13935681470137826,0.18172537008677897,0.07605921388463502
0.4,0.4,0.22,0.08,1959,2012,0.6625248508946322,0.6804492087799898,0.6713674137496852,0.8128934777134224,0.8491563837824225,0.13425216947422156,0.17866258295048495,0.09341500765696784
0.4,0.4,0.2,0.06,1959,2079,0.6517556517556518,0.6916794282797346,0.6711243189697871,0.8088162456661714,0.8454680534918276,0.14037774374680959,0.17457886676875958,0.11434405308831036
0.45,0.55,0.2,0.1,1959,1972,0.6688640973630832,0.6733027054619704,0.6710760620707199,0.821673874332231,0.8572882218265073,0.15671260847371107,0.19295558958652373,0.07605921388463502
0.4,0.5,0.22,0.1,1959,1984,0.6668346774193549,0.6753445635528331,0.6710626426578747,0.8206949023586102,0.8546791782906416,0.15058703420112302,0.1883614088820827,0.07963246554364471
0.45,0.35,0.2,0.08,1959,2000,0.6635,0.6773864216436958,0.6703713058853246,0.8103056327355393,0.8517302349078049,0.1332312404287902,0.17866258295048495,0.08984175599795814
0.4,0.35,0.22,0.08,1959,2012,0.661530815109344,0.6794282797345584,0.6703601108033241,0.8113825232938806,0.8491563837824225,0.13374170495150586,0.17968351199591628,0.09341500765696784
0.45,0.6,0.18,0.06,1959,2073,0.6517124939700917,0.6896375701888718,0.670138888888889,0.816468253968254,0.8501984126984127,0.18529862174578868,0.20316488004083716,0.10974987238386932
0.5,0.6,0.18,0.12,1959,1939,0.6735430634347602,0.6666666666666666,0.6700872242175475,0.8209338122113905,0.8589020010261672,0.1740684022460439,0.2082695252679939,0.06738131699846861
0.5,0.35,0.18,0.12,1959,1939,0.6735430634347602,0.6666666666666666,0.6700872242175475,0.8152898922524371,0.8589020010261672,0.13221031138335887,0.17968351199591628,0.06789178152118427
0.45,0.35,0.2,0.12,1959,1955,0.6705882352941176,0.669218989280245,0.6699029126213593,0.8170669391926418,0.8569238630556976,0.1362940275650842,0.1827462991322103,0.07248596222562532
0.4,0.35,0.22,0.12,1959,1967,0.668530757498729,0.6712608473711077,0.6698930208863983,0.8176260825267447,0.8543046357615893,0.13578356304236855,0.183256763654926,0.07605921388463502
0.4,0.4,0.22,0.12,1959,1967,0.668530757498729,0.6712608473711077,0.6698930208863983,0.8186449312277126,0.8543046357615893,0.1368044920877999,0.1827462991322103,0.07605921388463502
0.4,0.5,0.2,0.06,1959,2079,0.6503126503126503,0.6901480347115876,0.6696384348687469,0.8122833085685983,0.8454680534918276,0.1546707503828484,0.18223583460949463,0.11332312404287902
0.5,0.45,0.2,0.1,1959,1931,0.6742620403935785,0.664624808575804,0.6694087403598972,0.8123393316195373,0.8529562982005142,0.1296579887697805,0.1807044410413476,0.07197549770290965
0.45,0.4,0.22,0.1,1959,1947,0.6712891628145865,0.6671771311893824,0.6692268305171531,0.8131080389144906,0.8530465949820789,0.1276161306789178,0.18172537008677897,0.07656967840735068
0.4,0.6,0.2,0.1,1959,2010,0.6606965174129353,0.6778968861664114,0.6691861929957168,0.8274124464600655,0.8591584782060973,0.18989280245022971,0.21286370597243492,0.07963246554364471
0.4,0.6,0.18,0.06,1959,2113,0.644581164221486,0.6952526799387443,0.668958742632613,0.8192534381139489,0.8506876227897839,0.1970393057682491,0.2057172026544155,0.11434405308831036
0.45,0.35,0.22,0.1,1959,1947,0.6707755521314843,0.6666666666666666,0.6687147977470558,0.8115719406041988,0.8530465949820789,0.12659520163348648,0.18223583460949463,0.07656967840735068
0.5,0.55,0.18,0.06,1959,2025,0.6577777777777778,0.6799387442572741,0.6686746987951807,0.8072289156626506,0.8453815261044177,0.1495661051556917,0.18427769270035732,0.10515569167942827
0.4,0.35,0.2,0.06,1959,2079,0.6493506493506493,0.6891271056661562,0.6686478454680534,0.8073303615651313,0.8454680534918276,0.14088820826952528,0.17713118938233793,0.11434405308831036
0.45,0.45,0.22,0.08,1959,1975,0.6658227848101266,0.6712608473711077,0.668530757498729,0.8108795119471276,0.8474834773767158,0.12914752424706483,0.17917304747320062,0.08984175599795814
0.45,0.55,0.2,0.12,1959,1955,0.6690537084398976,0.667687595712098,0.6683699540112417,0.8216658150229943,0.8569238630556976,0.1582440020418581,0.19550791220010208,0.07197549770290965
0.45,0.55,0.2,0.08,1959,2000,0.6615,0.6753445635528331,0.6683505935842385,0.8163677696387976,0.8517302349078049,0.1562021439509954,0.19142419601837674,0.08933129147524248
0.4,0.5,0.22,0.08,1959,2012,0.6595427435387674,0.6773864216436958,0.6683455049106019,0.8164190380256863,0.8491563837824225,0.14854517611026033,0.18580908626850434,0.09290454313425217
0.45,0.45,0.22,0.12,1959,1930,0.6730569948186529,0.663093415007657,0.6680380560555413,0.8166623810748266,0.8526613525327847,0.13016845329249618,0.18223583460949463,0.07248596222562532
0.45,0.45,0.2,0.06,1959,2041,0.6545810877021068,0.6819806023481368,0.6679999999999999,0.8075,0.8434999999999999,0.13476263399693722,0.17508933129147525,0.11077080142930067
0.45,0.5,0.22,0.1,1959,1947,0.66974833076528,0.6656457376212354,0.6676907322068613,0.8161802355350742,0.8530465949820789,0.1419091373149566,0.1883614088820827,0.07605921388463502
0.45,0.6,0.2,0.1,1959,1972,0.665314401622718,0.6697294538029607,0.6675146273212923,0.8237089799033325,0.8572882218265073,0.17968351199591628,0.2113323124042879,0.07605921388463502
0.5,0.45,0.2,0.08,1959,1959,0.6671771311893824,0.6671771311893824,0.6671771311893824,0.8070444104134763,0.8473711077080143,0.12710566615620214,0.17815211842776926,0.0852475752935171
0.5,0.4,0.18,0.06,1959,2025,0.6562962962962963,0.678407350689127,0.6671686746987951,0.803714859437751,0.8453815261044177,0.12863705972434916,0.1725370086778969,0.10617662072485962
0.55,0.45,0.18,0.1,1959,1910,0.675392670157068,0.6584992343032159,0.6668389764797105,0.8084776428017575,0.8534505040062033,0.12302194997447677,0.17815211842776926,0.06993363961204696
0.5,0.5,0.2,0.1,1959,1931,0.6716727084412222,0.6620724859622257,0.6668380462724935,0.8123393316195373,0.8529562982005142,0.1383358856559469,0.18683001531393567,0.07146503318019398
0.4,0.5,0.22,0.12,1959,1967,0.6654804270462633,0.6681980602348137,0.6668364747834946,0.8206826286296485,0.8543046357615893,0.15109749872383868,0.19040326697294538,0.07554874936191934
0.4,0.6,0.2,0.08,1959,2038,0.6535819430814525,0.6799387442572741,0.6664998749061797,0.8221165874405806,0.8536402301726294,0.18938233792751405,0.2113323124042879,0.09290454313425217
0.5,0.4,0.2,0.1,1959,1931,0.6711548420507509,0.6615620214395099,0.6663239074550129,0.8087403598971722,0.8529562982005142,0.1281265952016335,0.1827462991322103,0.07197549770290965
0.4,0.6,0.2,0.12,1959,1993,0.6603110888108379,0.6717713118938233,0.6659919028340081,0.8274291497975709,0.8588056680161943,0.19142419601837674,0.21541602858601328,0.07554874936191934
0.45,0.4,0.22,0.08,1959,1975,0.6632911392405063,0.6687085247575294,0.6659888154550075,0.8073207930859176,0.8474834773767158,0.12710566615620214,0.1807044410413476,0.08984175599795814
0.5,0.45,0.2,0.12,1959,1915,0.6736292428198434,0.6584992343032159,0.6659783169850284,0.8125967991739804,0.8528652555498194,0.13067891781521185,0.1827462991322103,0.06789178152118427
0.55,0.5,0.18,0.1,1959,1910,0.6743455497382199,0.6574783052577846,0.6658051176014473,0.807960713362626,0.8534505040062033,0.1311893823379275,0.183256763654926,0.0694231750893313
0.45,0.4,0.2,0.06,1959,2041,0.6521313081822636,0.6794282797345584,0.6655,0.8035000000000001,0.8434999999999999,0.13221031138335887,0.17611026033690658,0.11077080142930067
0.45,0.5,0.2,0.06,1959,2041,0.6521313081822636,0.6794282797345584,0.6655,0.8075,0.8434999999999999,0.14599285349668198,0.18223583460949463,0.10974987238386932
0.45,0.35,0.22,0.08,1959,1975,0.6627848101265823,0.6681980602348137,0.6654804270462634,0.8057956278596848,0.8474834773767158,0.1260847371107708,0.1812149055640633,0.08984175599795814
0.55,0.45,0.18,0.08,1959,1939,0.6689014956162971,0.6620724859622257,0.6654694715238585,0.8040020523345306,0.8481272447408928,0.11944869831546708,0.1740684022460439,0.08320571720265442
0.45,0.4,0.22,0.12,1959,1930,0.6704663212435233,0.6605410923940787,0.6654667009514014,0.8135767549498585,0.8526613525327847,0.1281265952016335,0.18376722817764166,0.07248596222562532
0.45,0.35,0.22,0.12,1959,1930,0.6704663212435233,0.6605410923940787,0.6654667009514014,0.8125482129082026,0.8526613525327847,0.12710566615620214,0.18427769270035732,0.07248596222562532
0.4,0.55,0.2,0.06,1959,2079,0.645983645983646,0.6855538540071465,0.6651807825656265,0.8127786032689449,0.8454680534918276,0.16539050535987748,0.1919346605410924,0.11332312404287902
0.5,0.6,0.18,0.06,1959,2025,0.654320987654321,0.6763654925982644,0.6651606425702812,0.8092369477911646,0.8453815261044177,0.17151607963246554,0.2026544155181215,0.10515569167942827
0.5,0.35,0.18,0.06,1959,2025,0.654320987654321,0.6763654925982644,0.6651606425702812,0.8022088353413653,0.8453815261044177,0.1281265952016335,0.1740684022460439,0.10617662072485962
0.4,0.45,0.22,0.06,1959,2053,0.6497808085728203,0.6809596733027055,0.6650049850448654,0.8070787637088733,0.8409770687936192,0.1362940275650842,0.1776416539050536,0.11434405308831036
0.4,0.55,0.22,0.1,1959,1984,0.6607862903225806,0.669218989280245,0.6649759066700481,0.8206949023586102,0.8546791782906416,0.16028586013272078,0.1970393057682491,0.07963246554364471
0.45,0.6,0.2,0.08,1959,2000,0.658,0.6717713118938233,0.6648143470573378,0.8183884819398838,0.8517302349078049,0.17917304747320062,0.20980091883614088,0.08933129147524248
0.45,0.6,0.2,0.12,1959,1955,0.6654731457800511,0.6641143440530883,0.6647930505876342,0.8237097598364844,0.8569238630556976,0.1807044410413476,0.2133741704951506,0.07197549770290965
