Config,n_features,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_F,COn_F,Split,Merged,Spurious
A1: F0 only,6,1959,3013,0.27547295054762694,0.42368555385400714,0.33386967015285596,0.4979887369267901,0.5595333869670153,0.482899438489025,0.3215926493108729,0.24961715160796324
A2: + RMS energy,8,1959,2442,0.3918918918918919,0.4885145482388974,0.43490115882753916,0.6212224494433084,0.6916609861395137,0.4012251148545176,0.30321592649310875,0.08677896886166411
A3: + spectral flux,10,1959,2473,0.4435907804286292,0.5599795814190913,0.4950361010830325,0.6656137184115524,0.7418772563176895,0.36396120469627363,0.25370086778968864,0.10464522715671261
A4: + voicing-run / pitch-std,14,1959,2385,0.46540880503144655,0.5666156202143952,0.511049723756906,0.6731123388581953,0.746316758747698,0.3517100561510975,0.26186830015313933,0.0959673302705462
A5: + temporal lags (full),44,1959,2098,0.6277407054337464,0.6722817764165391,0.6492482129652453,0.7784076904116342,0.8607345329060883,0.15977539561000512,0.16641143440530884,0.08831036242981113
