onset_tolerance,COnPOff_F,COnP_F,COn_F,est_notes
0.05,0.1931269525702925,0.3368361261005396,0.5248508946322068,1562
0.075,0.209599545583641,0.37602953706333425,0.5782448168134053,1562
0.1,0.21527975007100256,0.39307015052541894,0.6072138596989491,1562
0.15,0.22095995455836412,0.4072706617438228,0.6322067594433399,1562
0.2,0.22550411814825333,0.41408690712865664,0.6378869639307015,1562
0.3,0.2357284862255041,0.43794376597557516,0.6640159045725645,1562
