tonic,count,percent
C,14,10.606060606060606
C#,15,11.363636363636363
D,16,12.121212121212121
Eb,16,12.121212121212121
E,11,8.333333333333332
F,4,3.0303030303030303
F#,8,6.0606060606060606
G,5,3.787878787878788
Ab,9,6.8181818181818175
A,12,9.090909090909092
Bb,6,4.545454545454546
B,16,12.121212121212121
